TagNameGroup,TagName,TagType,Writable,G0,G1,G2
APP1,GainDeadMapByteOrder,int16u,false,APP1,FLIR,Image
APP1,GainDeadMapImageWidth,int16u,false,APP1,FLIR,Image
APP1,GainDeadMapImageHeight,int16u,false,APP1,FLIR,Image
APP1,GainDeadMapImage,int16u,false,APP1,FLIR,Image
APP1,CreatorSoftware,string,false,APP1,FLIR,Image
APP1,Meas1Label,int16u,false,APP1,FLIR,Image
APP1,Meas1Params,int16u,false,APP1,FLIR,Image
APP1,Meas1Type,int16u,false,APP1,FLIR,Image
APP1,Reading1Units,int8u,false,APP1,FLIR,Image
APP1,Reading1Description,int8u,false,APP1,FLIR,Image
APP1,Reading1Device,string,false,APP1,FLIR,Image
APP1,Reading1Value,double,false,APP1,FLIR,Image
APP1,Reading2Units,int8u,false,APP1,FLIR,Image
APP1,Reading2Description,int8u,false,APP1,FLIR,Image
APP1,Reading2Device,string,false,APP1,FLIR,Image
APP1,Reading2Value,double,false,APP1,FLIR,Image
APP1,Reading3Units,int8u,false,APP1,FLIR,Image
APP1,Reading3Description,int8u,false,APP1,FLIR,Image
APP1,Reading3Device,string,false,APP1,FLIR,Image
APP1,Reading3Value,double,false,APP1,FLIR,Image
APP1,Reading4Units,int8u,false,APP1,FLIR,Image
APP1,Reading4Description,int8u,false,APP1,FLIR,Image
APP1,Reading4Device,string,false,APP1,FLIR,Image
APP1,Reading4Value,double,false,APP1,FLIR,Image
APP1,PaintByteOrder,int16u,false,APP1,FLIR,Image
APP1,PaintImageWidth,int16u,false,APP1,FLIR,Image
APP1,PaintImageHeight,int16u,false,APP1,FLIR,Image
APP1,PaintImage,int16u,false,APP1,FLIR,Image
APP1,PaletteColors,int8u,false,APP1,FLIR,Image
APP1,AboveColor,int8u,false,APP1,FLIR,Image
APP1,BelowColor,int8u,false,APP1,FLIR,Image
APP1,OverflowColor,int8u,false,APP1,FLIR,Image
APP1,UnderflowColor,int8u,false,APP1,FLIR,Image
APP1,Isotherm1Color,int8u,false,APP1,FLIR,Image
APP1,Isotherm2Color,int8u,false,APP1,FLIR,Image
APP1,PaletteMethod,int8u,false,APP1,FLIR,Image
APP1,PaletteStretch,int8u,false,APP1,FLIR,Image
APP1,PaletteFileName,string,false,APP1,FLIR,Image
APP1,PaletteName,string,false,APP1,FLIR,Image
APP1,DateTimeGenerated,?,false,APP1,FLIR,Time
APP1,Param0,?,false,APP1,FLIR,Time
APP1,Param1,?,false,APP1,FLIR,Time
APP1,Param2,?,false,APP1,FLIR,Time
APP1,Param3,?,false,APP1,FLIR,Time
APP1,Real2IR,float,false,APP1,FLIR,Image
APP1,OffsetX,int16s,false,APP1,FLIR,Image
APP1,OffsetY,int16s,false,APP1,FLIR,Image
APP1,PiPX1,int16s,false,APP1,FLIR,Image
APP1,PiPX2,int16s,false,APP1,FLIR,Image
APP1,PiPY1,int16s,false,APP1,FLIR,Image
APP1,PiPY2,int16s,false,APP1,FLIR,Image
APP1,RawDataByteOrder,int16u,false,APP1,FLIR,Image
APP1,RawThermalImageWidth,int16u,false,APP1,FLIR,Image
APP1,RawThermalImageHeight,int16u,false,APP1,FLIR,Image
APP1,RawThermalImage,int16u,false,APP1,FLIR,Preview
APP1,Label0,?,false,APP1,FLIR,Image
APP1,Label1,?,false,APP1,FLIR,Image
APP1,Label2,?,false,APP1,FLIR,Image
APP1,Label3,?,false,APP1,FLIR,Image
APP1,Value0,?,false,APP1,FLIR,Image
APP1,Value1,?,false,APP1,FLIR,Image
APP1,Value2,?,false,APP1,FLIR,Image
APP1,Value3,?,false,APP1,FLIR,Image
APP1,RawThermalImage,?,false,APP1,Parrot,Preview
APP11,RatioImage,?,false,APP11,JPEG-HDR,Preview
APP11,Alpha,?,false,APP11,JPEG-HDR,Preview
APP11,Beta,?,false,APP11,JPEG-HDR,Preview
APP11,CorrectionMethod,?,false,APP11,JPEG-HDR,Preview
APP11,Ln0,?,false,APP11,JPEG-HDR,Preview
APP11,Ln1,?,false,APP11,JPEG-HDR,Preview
APP11,S2n,?,false,APP11,JPEG-HDR,Preview
